"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"209","NM_001105734",268.391782494635,2.9754981055305,0.436264763309358,4.714439396267e-13,2.42534221955324e-11
"212","NM_057133",626.153112691566,-1.90151855147491,0.27691412599287,5.08354065368122e-13,2.57821835416889e-11
"213","NM_001077667",42.8417335193993,3.61575086326159,0.524461828975447,5.90701999902086e-13,2.97416145968935e-11
"215","NM_138912",4649.94580287006,-2.68857565464883,0.395534150872565,5.99778865182713e-13,2.99945225974164e-11
"216","NM_031154",2172.87210395711,-1.96537942937099,0.287635678819957,6.1047317554446e-13,3.03879980715464e-11
"217","NM_001128311",2701.51571026692,-1.84396061545012,0.269660090970314,6.23789018342879e-13,3.09077397475698e-11
"219","NM_001013932",629.452304753759,-1.5644404710413,0.228452567513377,7.16436399953569e-13,3.51740829785423e-11
"220","NM_033234",4811.10307671889,-2.84302779547968,0.42015555439598,7.3165861260747e-13,3.57581518307069e-11
"221","NM_001198676",1180.90776377488,-1.82081360451625,0.267250004613026,7.52958156564168e-13,3.66326067845155e-11
"222","NM_001106363",828.433336489111,1.52464775342825,0.222658249675331,7.58718417119627e-13,3.67465784723884e-11
"223","NM_001108619",164.119977465499,2.22605091126715,0.327466489892144,7.87423614601809e-13,3.79658237856442e-11
"225","NM_001109067",57.7298905010891,2.58709575058578,0.381859400908521,1.02933028523808e-12,4.91882632305769e-11
"226","NM_001106774",122.142767687195,-2.10178035391674,0.311427273601984,1.05739706858203e-12,5.03058994751947e-11
"228","NM_001134542",51.7279688234427,2.75380564579563,0.408314187107702,1.07468641726768e-12,5.08442954038404e-11
"229","NM_001108786",818.84792245274,2.10655683686296,0.312581747221921,1.12349464381452e-12,5.27502812676581e-11
"232","NM_001128138",849.080271647582,-2.0300810637875,0.303040135068949,1.48540824977489e-12,6.88409892309466e-11
"233","NM_001191617",521.975163373983,-1.54411659844502,0.229232495397109,1.5158699202532e-12,6.99512162341732e-11
"234","NM_053922",1274.43054820975,-2.06153867617534,0.308263425266596,1.57049821316135e-12,7.21623794355162e-11
"237","NM_001135713",68.4058841163324,-2.46587293982309,0.372198440460833,2.30144388980574e-12,1.04409808874225e-10
"238","NM_001108408",539.513078525826,1.59201933860818,0.238454292854537,2.35800078010996e-12,1.06526152889674e-10
"242","NM_001108003",324.256459268984,1.7535153617832,0.263856662380908,2.75436901995497e-12,1.22375932655189e-10
